,id,name,year,genre,ratingCount,bestRating,worstRating,ratingValue,directorMaxEffect,actorMaxEffect,writerMaxEffect,directorSumEffect,actorSumEffect,writerSumEffect,d动画,d悬疑,d剧情,d西部,d犯罪,d灾难,d传记,d科幻,d儿童,d歌舞,d奇幻,d家庭,d喜剧,d音乐,d惊悚,d运动,d历史,d古装,d爱情,d冒险,d恐怖,d动作,d战争,d武侠,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
3082,6782006,我愿意,2012,"['喜剧', '爱情']",116808,10,2,5.9,457,25528,125,457,58945,125,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3083,6788265,饭局也疯狂,2012,"['剧情', '喜剧']",39549,10,2,5.1,1673,35619,467,1673,59297,467,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3084,6793319,女蛹,2013,"['爱情', '悬疑', '惊悚']",22807,10,2,6.6,56,10314,56,56,12040,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3085,6796158,铜雀台,2012,"['剧情', '古装']",57942,10,2,5.1,20,32345,795,20,90585,889,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3086,6796173,小锅盖娶亲,2011,['剧情'],187,10,2,5.4,1,649,1,1,1033,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3087,6796180,正·青春,2011,['剧情'],4524,10,2,4.5,448,9540,448,448,9988,448,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3088,6796186,成成烽火之青春行动,2011,['剧情'],91,10,2,5.8,20,1356,1,20,2200,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3089,6796784,四年一梦,2011,['剧情'],144,10,2,7.5,2,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3090,6799156,超时空救兵,2012,"['喜剧', '动作', '科幻']",9842,10,2,5.1,631,10148,631,631,28384,640,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3091,6799191,搜索,2012,"['剧情', '悬疑']",328754,10,2,7.4,19612,38295,19612,19612,116410,19891,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3092,6801423,女王,2011,['剧情'],256,10,2,7.3,27,5755,8,28,17950,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3093,6801449,少年岳飞传奇,2011,['动画'],303,10,2,6.8,7,35656,0,7,37510,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3094,6804364,梦游,2011,"['悬疑', '惊悚']",3757,10,2,5.0,454,8482,454,454,21507,454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3095,6808684,赤发鬼刘唐,2011,"['武侠', '古装']",147,10,2,5.0,100,1220,155,100,2208,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
